DEPTH,GR7-3,GR7-8,GRA-53
1560.94,65.00,101.26,
1561.44,65.69,100.78,
1561.94,66.94,100.20,
1562.44,70.75,99.61,
1562.94,71.88,99.03,
1563.44,72.81,98.44,
1563.94,73.69,97.86,
1564.44,72.31,97.27,
1564.94,69.63,96.69,
1565.44,67.81,96.11,
1565.94,72.31,95.56,
1566.43,75.44,95.01,
1566.93,73.81,94.46,
1567.43,71.25,94.26,
1567.93,72.63,94.23,
1568.43,74.00,94.46,
1568.93,75.25,95.73,
1569.43,72.75,97.10,
1569.93,71.13,97.96,
1570.43,68.94,98.00,
1570.93,70.25,99.18,
1571.43,72.38,100.18,
1571.93,76.38,100.24,
1572.43,73.81,99.44,
1572.93,72.63,98.99,
1573.43,70.06,98.81,
1573.93,69.88,98.70,
1574.43,71.06,98.67,
1574.93,72.13,98.65,
1575.43,73.50,98.62,
1575.93,71.25,98.59,
1576.43,66.63,98.56,
1576.93,67.06,97.71,
1577.43,69.63,96.40,
1577.93,68.94,96.43,
1578.43,69.81,96.63,
1578.93,71.50,96.90,
1579.43,75.38,97.02,
1579.93,78.63,96.29,
1580.43,78.13,95.10,
1580.93,77.69,92.95,
1581.43,72.31,91.32,
1581.93,69.19,91.10,
1582.43,68.75,92.47,
1582.93,68.38,94.23,
1583.43,67.75,96.34,
1583.93,68.81,98.45,
1584.43,66.94,100.56,
1584.93,70.88,102.14,
1585.43,68.75,100.93,
1585.93,72.13,96.74,
1586.43,71.00,93.07,
1586.93,75.38,92.36,
1587.43,77.19,91.65,
1587.93,78.75,90.94,
1588.43,73.06,90.24,
1588.93,70.38,89.53,
1589.43,69.13,88.91,
1589.93,70.19,88.88,
1590.43,68.25,88.85,
1590.93,64.81,88.52,
1591.43,63.19,88.01,
1591.93,64.94,87.47,
1592.43,63.34,86.97,
1592.93,66.25,87.80,
1593.43,69.50,89.65,
1593.93,72.69,91.54,
1594.43,69.56,93.43,
1594.93,66.13,94.90,
1595.43,62.34,94.26,
1595.92,67.06,95.09,
1596.42,67.13,96.68,
1596.92,68.94,96.47,
1597.42,71.38,94.50,
1597.92,72.25,93.42,
1598.42,74.50,93.83,
1598.92,72.31,93.46,
1599.42,74.63,93.21,
1599.92,77.56,93.43,
1600.42,77.50,93.64,
1600.92,75.06,94.16,
1601.42,73.25,94.91,
1601.92,73.75,95.80,
1602.42,74.13,94.35,
1602.92,74.00,92.91,
1603.42,66.81,92.69,
1603.92,68.19,93.30,
1604.42,68.81,93.94,
1604.92,72.56,94.79,
1605.42,72.88,94.94,
1605.92,70.31,93.27,
1606.42,71.88,91.82,
1606.92,70.81,92.30,
1607.42,70.31,93.33,
1607.92,70.69,94.36,
1608.42,68.81,95.28,
1608.92,69.81,95.57,12.09
1609.42,69.69,95.87,12.09
1609.92,71.06,96.05,12.09
1610.42,73.00,95.66,12.09
1610.92,75.69,95.26,12.80
1611.42,78.06,94.87,12.80
1611.92,78.31,94.79,12.99
1612.42,73.94,94.85,12.99
1612.92,75.19,94.92,14.00
1613.42,76.44,95.16,14.00
1613.92,77.69,96.09,14.50
1614.42,75.75,97.03,14.50
1614.92,69.19,97.96,14.34
1615.42,68.25,98.89,14.34
1615.92,67.75,99.71,14.34
1616.42,74.25,100.51,14.34
1616.92,72.69,98.60,14.65
1617.42,71.00,98.87,14.65
1617.92,69.56,100.96,13.72
1618.42,68.50,103.04,13.72
1618.92,70.31,102.07,13.44
1619.42,66.38,98.84,13.44
1619.92,68.50,97.90,17.23
1620.42,67.19,97.29,17.23
1620.92,70.25,96.67,15.66
1621.42,70.00,96.04,15.66
1621.92,73.00,95.32,15.64
1622.42,71.88,94.66,15.64
